filename,C_0,tau_0,R_th_0,h_0,T_amp_0,C_1,tau_1,R_th_1,h_1,T_amp_1
12641207135139-r3405251-n139058_cleaned.parquet,37.019074936636336,14.78756643135148,0.39945802148385945,2.5033919616517353,6.447334259180831,228.84213012198717,217.61465111656543,0.9509378845606935,1.0515933966201922,3.000000000000781
12754910432098-r3879907-n136082_cleaned.parquet,149.85320013208596,28.51320069965709,0.19027421953301324,5.255572733154722,23.092628829571083,140.47852808974113,23.853726404310184,0.1698033623264606,5.889164892255901,16.54931840182289
12731443252710-r3741709-n976057_cleaned.parquet,,,,,,104.28677618078619,18.30824498643555,0.17555672595245747,5.696164556354338,16.106750904871717
12423798727580-r5573787-n911952_cleaned.parquet,188.85079742785268,33.391320443622675,0.1768132350957071,5.6556852175614045,25.079333929665207,171.54530054542158,28.55540291023833,0.16645983783553117,6.007455089485544,24.152937110408896
12765931404497-r8015356-n386398_cleaned.parquet,,,,,,91.10102704821689,10.055794619716732,0.11038069432954381,9.059555260763984,11.188436239714054
13001405465504-r629115-n830961_cleaned.parquet,198.15465920152855,47.02171456449601,0.23729805170351143,4.214109609502548,33.22284446815546,191.73121308917024,48.07568273404896,0.2507452071024552,3.9881121220849387,37.36117498913361
13001405465504-r9352821-n830961_cleaned.parquet,169.78226006648353,41.82886796998069,0.2463677180030546,4.058973343202381,36.28939246588314,174.0231819826181,38.76516033690736,0.22275859971793485,4.489164509321916,30.201408321959395
13037928135388-r3117156-n139058_cleaned.parquet,143.82052795315016,28.044033273993914,0.1949932577297263,5.128382445848804,10.738039118436879,80.02949783757396,17.560336408158175,0.21942329869166782,4.557401178282318,8.175753626733279
13091857069545-r8642123-n851693_cleaned.parquet,178.03597039907663,36.53177325441968,0.20519321557622242,4.873455475571187,19.643614048886164,154.93039875996809,29.28169608847108,0.18899903648887445,5.291032264383346,22.925941812750647
13130610710638-r8642123-n976057_cleaned.parquet,,,,,,141.15615335232752,29.886733546533847,0.2117281665499639,4.723037167395574,13.137582740571256
13195655198409-r3226521-n830961_cleaned.parquet,119.83278114986462,7.621310931450937,0.06359954979196898,15.723381742024136,10.147524062088124,98.39268458443674,6.823938682950594,0.06935412639437191,14.41875274030054,11.29987360228356
1320623757151-r9102715-n976057_cleaned.parquet,171.94846114059376,34.36924026689197,0.19988105760824426,5.002975329257785,19.31734810738951,167.2372485072985,31.04613094160119,0.18564124451166328,5.386733980536168,17.57300829954618
13228233255776-r9352821-n830961_cleaned.parquet,195.30449866327982,51.15489507038617,0.26192379295154483,3.8179043939891217,28.267476235491916,,,,,
13267040039230-r1485405-n976057_cleaned.parquet,,,,,,176.9384223224622,46.269210470785715,0.2614989433242611,3.824107230750798,42.112563719937555
13269625421951-r9040233-n911952_cleaned.parquet,,,,,,127.397595890122,21.479377806888902,0.1686011235676257,5.931158576169875,20.90165216281762
13288727937236-r3741709-n851693_cleaned.parquet,112.97141329907383,21.13517272825659,0.18708425530894782,5.345185239391827,12.954456833175136,77.06814010757732,14.727332531654517,0.19109495196195256,5.233000609032845,11.675962359626142
13277476779215-r4229531-n911952_cleaned.parquet,,,,,,138.83740568384425,25.820855293127085,0.18597909667028384,5.376948366261112,10.57494573876699
13502893170235-r8015356-n911952_cleaned.parquet,,,,,,151.54607529751053,28.53078945459115,0.18826478612910558,5.3116677874864715,16.513236544755827
13293504420452-r9555635-n208530_cleaned.parquet,,,,,,125.36881474880934,25.67239410072978,0.20477496060058745,4.883409558800967,12.874496203772436
13592603235654-r9352821-n851693_cleaned.parquet,,,,,,140.10372676096299,33.39458108301749,0.23835612267469108,4.1954030329852365,38.97828306617268
13795601176820-r9189566-n976057_cleaned.parquet,,,,,,160.87584780590092,28.56077001506383,0.17753298835461506,5.632755969851304,18.333839452108784
