epoch,train_rmse,val_rmse,train_mae,val_mae,lr,C_die0,C_sink0,R_pst0,C_die1,C_sink1,R_pst1,k01,k10,h_base0,h_act0,T_thr0,h_base1,h_act1,T_thr1,q0,q1,epoch_time_sec
65,2.272116,2.283151,1.430598,1.451519,0.010000,8.6897,4639.5283,0.0361,8.6346,4779.1621,0.0332,0.0188,0.0035,3.9894,19.9767,70.2579,4.7515,19.1914,67.4334,-8.6869,-8.7029,823.44
66,2.272225,2.280978,1.430402,1.448638,0.010000,8.7155,4647.5986,0.0363,8.6602,4785.1821,0.0333,0.0186,0.0034,3.9935,20.0567,70.2964,4.7525,19.2186,67.5288,-8.7112,-8.7278,751.04
67,2.271604,2.280816,1.428926,1.449674,0.010000,8.7410,4655.7065,0.0362,8.6852,4790.8735,0.0333,0.0184,0.0033,3.9893,20.1836,70.1799,4.7417,19.2164,67.7490,-8.7352,-8.7524,768.80
68,2.274128,2.277105,1.432815,1.443366,0.010000,8.7664,4662.7129,0.0368,8.7091,4796.0347,0.0338,0.0183,0.0033,3.9603,20.2420,70.3274,4.7336,19.3159,67.6800,-8.7557,-8.7751,846.61
69,2.269211,2.277792,1.428829,1.445259,0.010000,8.7908,4670.2310,0.0367,8.7319,4801.5493,0.0336,0.0180,0.0032,3.9733,20.3463,70.2719,4.7391,19.3996,67.6147,-8.7812,-8.8000,744.12
70,2.269412,2.280835,1.427826,1.450988,0.010000,8.8132,4677.9258,0.0362,8.7548,4806.6606,0.0333,0.0177,0.0032,3.9860,20.4833,70.1109,4.7401,19.4831,67.5948,-8.8068,-8.8252,884.87
71,2.268821,2.278938,1.425740,1.445287,0.010000,8.8372,4685.4561,0.0361,8.7770,4811.5527,0.0332,0.0175,0.0031,4.0019,20.5117,70.3422,4.7862,19.6084,67.3724,-8.8313,-8.8523,784.97
72,2.266898,2.278057,1.424977,1.446545,0.010000,8.8596,4692.1694,0.0363,8.7999,4816.2563,0.0335,0.0173,0.0030,3.9915,20.6273,70.2185,4.7526,19.6134,67.5061,-8.8524,-8.8717,851.89
73,2.266149,2.277001,1.425246,1.446029,0.005000,8.8709,4695.1353,0.0367,8.8113,4818.5142,0.0338,0.0173,0.0030,3.9852,20.6707,70.2040,4.7446,19.6039,67.6072,-8.8603,-8.8806,785.08
74,2.266810,2.276958,1.426096,1.445865,0.005000,8.8817,4698.5757,0.0367,8.8217,4820.8804,0.0337,0.0172,0.0030,3.9751,20.7286,70.1730,4.7392,19.6524,67.6122,-8.8709,-8.8920,917.99
75,2.265044,2.278871,1.423814,1.447797,0.005000,8.8927,4701.9487,0.0366,8.8318,4823.2397,0.0333,0.0170,0.0029,3.9878,20.7738,70.1752,4.7842,19.7398,67.4607,-8.8830,-8.9067,919.93
76,2.265150,2.279207,1.424165,1.448065,0.005000,8.9045,4705.1514,0.0365,8.8431,4825.4082,0.0333,0.0169,0.0029,3.9873,20.8138,70.1785,4.7798,19.7819,67.3719,-8.8937,-8.9162,879.86
77,2.264921,2.275385,1.423180,1.442332,0.002500,8.9099,4706.9023,0.0366,8.8485,4826.5972,0.0335,0.0169,0.0029,3.9728,20.8210,70.2552,4.7566,19.7477,67.5313,-8.8987,-8.9208,882.81
78,2.264397,2.276936,1.422814,1.445053,0.002500,8.9154,4708.6274,0.0364,8.8537,4827.7021,0.0335,0.0168,0.0029,3.9880,20.8516,70.2191,4.7613,19.7926,67.4488,-8.9051,-8.9266,933.51
79,2.263494,2.275807,1.422169,1.443244,0.002500,8.9214,4710.2378,0.0365,8.8596,4828.8496,0.0335,0.0168,0.0029,3.9841,20.8654,70.2508,4.7645,19.7886,67.4932,-8.9094,-8.9317,887.42
80,2.263753,2.275719,1.422869,1.444012,0.002500,8.9266,4711.8052,0.0369,8.8652,4830.0015,0.0337,0.0168,0.0029,3.9695,20.9021,70.2008,4.7550,19.7927,67.5307,-8.9140,-8.9365,907.87
81,2.263658,2.275166,1.422462,1.442380,0.002500,8.9324,4713.5889,0.0366,8.8707,4831.1543,0.0336,0.0167,0.0028,3.9791,20.9114,70.2507,4.7617,19.8178,67.5134,-8.9202,-8.9428,908.89
82,2.262778,2.275901,1.421699,1.443803,0.001250,8.9354,4714.4028,0.0366,8.8735,4831.7285,0.0336,0.0167,0.0028,3.9797,20.9320,70.2144,4.7624,19.8327,67.4937,-8.9230,-8.9456,907.43
83,2.262805,2.275807,1.421774,1.443863,0.001250,8.9382,4715.2646,0.0366,8.8763,4832.3228,0.0336,0.0167,0.0028,3.9786,20.9451,70.2109,4.7597,19.8427,67.4907,-8.9256,-8.9482,908.95
84,2.262640,2.275735,1.421831,1.443718,0.001250,8.9412,4716.0483,0.0366,8.8792,4832.8838,0.0336,0.0166,0.0028,3.9777,20.9554,70.2145,4.7605,19.8528,67.4798,-8.9282,-8.9509,884.70
85,2.262673,2.275692,1.421667,1.443518,0.001250,8.9442,4717.0449,0.0366,8.8821,4833.5166,0.0336,0.0166,0.0028,3.9805,20.9677,70.2191,4.7629,19.8623,67.4801,-8.9316,-8.9544,895.79
86,2.262391,2.275464,1.421370,1.443259,0.000625,8.9457,4717.4634,0.0366,8.8836,4833.8071,0.0336,0.0166,0.0028,3.9799,20.9726,70.2227,4.7594,19.8652,67.4836,-8.9329,-8.9554,893.51
87,2.262370,2.275450,1.421288,1.443158,0.000625,8.9472,4717.9453,0.0366,8.8850,4834.1279,0.0336,0.0166,0.0028,3.9802,20.9784,70.2251,4.7610,19.8717,67.4798,-8.9346,-8.9573,907.27
88,2.262317,2.275439,1.421304,1.443286,0.000625,8.9488,4718.3882,0.0366,8.8867,4834.4268,0.0336,0.0166,0.0028,3.9806,20.9865,70.2179,4.7601,19.8701,67.4920,-8.9359,-8.9586,918.57
89,2.262275,2.275598,1.421236,1.443482,0.000625,8.9504,4718.8711,0.0365,8.8882,4834.7456,0.0336,0.0165,0.0028,3.9822,20.9925,70.2167,4.7614,19.8791,67.4777,-8.9377,-8.9603,798.49
90,2.262140,2.275418,1.421103,1.443212,0.000313,8.9512,4719.1060,0.0366,8.8890,4834.9102,0.0336,0.0165,0.0028,3.9808,20.9947,70.2224,4.7606,19.8827,67.4767,-8.9384,-8.9610,741.77
91,2.262148,2.275460,1.421156,1.443296,0.000313,8.9520,4719.3457,0.0366,8.8898,4835.0732,0.0336,0.0165,0.0028,3.9802,20.9990,70.2183,4.7603,19.8846,67.4759,-8.9391,-8.9618,850.28
92,2.262159,2.275615,1.421146,1.443580,0.000313,8.9528,4719.5688,0.0366,8.8906,4835.2290,0.0336,0.0165,0.0028,3.9821,21.0032,70.2140,4.7618,19.8880,67.4728,-8.9399,-8.9626,747.45
93,2.262074,2.275402,1.421078,1.443280,0.000313,8.9537,4719.8086,0.0366,8.8915,4835.3975,0.0336,0.0165,0.0028,3.9806,21.0060,70.2169,4.7603,19.8868,67.4814,-8.9406,-8.9633,745.45
94,nan,nan,nan,nan,0.000156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,818.97
95,nan,nan,nan,nan,0.000156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,817.31
96,nan,nan,nan,nan,0.000156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,747.30
97,nan,nan,nan,nan,0.000156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,820.93
98,nan,nan,nan,nan,0.000078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,772.29
99,nan,nan,nan,nan,0.000078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,735.49
100,nan,nan,nan,nan,0.000078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,585.11
101,nan,nan,nan,nan,0.000078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,897.84
102,nan,nan,nan,nan,0.000039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,916.58
103,nan,nan,nan,nan,0.000039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,917.21
104,nan,nan,nan,nan,0.000039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,892.06
105,nan,nan,nan,nan,0.000039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,897.30
