timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/03 19:26:28.547, 100 %, 100 %, 12984 MiB, 86, 179.73 W
2026/04/03 19:26:33.547, 0 %, 0 %, 12984 MiB, 85, 137.73 W
2026/04/03 19:26:38.548, 7 %, 9 %, 12984 MiB, 84, 130.74 W
2026/04/03 19:26:43.548, 100 %, 100 %, 12984 MiB, 86, 191.45 W
2026/04/03 19:26:48.609, 100 %, 100 %, 12984 MiB, 86, 184.11 W
2026/04/03 19:26:53.872, 100 %, 100 %, 12984 MiB, 86, 179.17 W
2026/04/03 19:26:59.094, 16 %, 2 %, 12984 MiB, 84, 123.75 W
2026/04/03 19:27:04.095, 100 %, 100 %, 12984 MiB, 86, 199.05 W
2026/04/03 19:27:09.095, 100 %, 100 %, 12984 MiB, 86, 188.67 W
2026/04/03 19:27:14.096, 100 %, 100 %, 12984 MiB, 86, 182.20 W
2026/04/03 19:27:19.097, 100 %, 100 %, 12984 MiB, 86, 178.28 W
2026/04/03 19:27:24.097, 16 %, 2 %, 12984 MiB, 84, 127.16 W
2026/04/03 19:27:29.098, 100 %, 100 %, 12984 MiB, 86, 194.56 W
2026/04/03 19:27:34.451, 100 %, 100 %, 12984 MiB, 86, 185.69 W
2026/04/03 19:27:39.711, 100 %, 100 %, 12984 MiB, 86, 180.38 W
2026/04/03 19:27:44.857, 100 %, 100 %, 12984 MiB, 86, 175.83 W
2026/04/03 19:27:50.072, 13 %, 1 %, 12984 MiB, 83, 118.63 W
2026/04/03 19:27:55.072, 100 %, 100 %, 12984 MiB, 86, 188.58 W
2026/04/03 19:28:00.073, 100 %, 100 %, 12984 MiB, 86, 180.89 W
2026/04/03 19:28:05.073, 0 %, 0 %, 12984 MiB, 85, 153.65 W
2026/04/03 19:28:10.074, 24 %, 3 %, 12984 MiB, 83, 105.49 W
2026/04/03 19:28:15.075, 0 %, 0 %, 12984 MiB, 82, 116.78 W
