epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
42,3.646818,3.732449,2.565779,2.746933,0.010000,845.1430,3.7479,4.1134,7.1934,7.7149,70.8804,67.0290,0.5706,0.4600,0.0361,0.0104,-5.8080,-6.2661,342.46
43,3.634958,3.720266,2.555691,2.735633,0.010000,854.0658,3.7450,4.1123,7.2821,7.7917,70.8720,67.0315,0.5786,0.4661,0.0360,0.0104,-5.8451,-6.3015,342.20
44,3.624277,3.709014,2.546326,2.725201,0.010000,862.1912,3.7422,4.1112,7.3688,7.8676,70.8633,67.0319,0.5865,0.4721,0.0359,0.0103,-5.8820,-6.3366,344.97
45,3.614478,3.698583,2.538035,2.715507,0.010000,869.6152,3.7394,4.1101,7.4537,7.9428,70.8544,67.0304,0.5944,0.4781,0.0357,0.0102,-5.9186,-6.3714,341.32
46,3.604737,3.688963,2.529725,2.706577,0.010000,876.4160,3.7368,4.1090,7.5372,8.0174,70.8441,67.0269,0.6022,0.4840,0.0356,0.0102,-5.9550,-6.4058,343.28
47,3.596871,3.680016,2.522866,2.698254,0.010000,882.6575,3.7343,4.1079,7.6189,8.0911,70.8336,67.0217,0.6100,0.4900,0.0355,0.0101,-5.9912,-6.4400,349.72
48,3.588045,3.671669,2.515466,2.690479,0.010000,888.4089,3.7318,4.1067,7.6992,8.1639,70.8223,67.0150,0.6177,0.4959,0.0353,0.0100,-6.0272,-6.4739,340.94
49,3.581358,3.663801,2.509523,2.683109,0.010000,893.7097,3.7293,4.1054,7.7778,8.2352,70.8112,67.0082,0.6255,0.5018,0.0352,0.0100,-6.0628,-6.5074,345.15
50,3.573684,3.656460,2.503119,2.676237,0.010000,898.6140,3.7269,4.1042,7.8551,8.3059,70.7992,66.9997,0.6331,0.5076,0.0351,0.0099,-6.0982,-6.5407,345.11
51,3.567794,3.649543,2.497733,2.669741,0.010000,903.1602,3.7245,4.1029,7.9311,8.3755,70.7870,66.9904,0.6407,0.5135,0.0349,0.0099,-6.1333,-6.5737,344.01
52,3.561701,3.643011,2.492539,2.663580,0.010000,907.3823,3.7221,4.1017,8.0055,8.4438,70.7750,66.9809,0.6483,0.5193,0.0348,0.0098,-6.1682,-6.6064,343.13
53,3.555713,3.636846,2.487351,2.657753,0.010000,911.3131,3.7199,4.1004,8.0785,8.5111,70.7630,66.9707,0.6558,0.5251,0.0346,0.0097,-6.2028,-6.6389,342.64
54,3.550055,3.631023,2.482463,2.652243,0.010000,914.9786,3.7177,4.0992,8.1503,8.5774,70.7506,66.9595,0.6633,0.5309,0.0345,0.0097,-6.2372,-6.6711,343.87
55,3.545110,3.625459,2.478279,2.646947,0.010000,918.4019,3.7154,4.0978,8.2207,8.6425,70.7385,66.9482,0.6708,0.5367,0.0344,0.0096,-6.2712,-6.7030,341.85
56,3.540613,3.620220,2.474093,2.641964,0.010000,921.6075,3.7132,4.0966,8.2900,8.7067,70.7258,66.9362,0.6782,0.5425,0.0342,0.0095,-6.3050,-6.7347,341.29
57,3.535123,3.615245,2.469563,2.637225,0.010000,924.6122,3.7112,4.0954,8.3580,8.7695,70.7133,66.9244,0.6856,0.5482,0.0341,0.0095,-6.3386,-6.7661,342.50
58,3.531635,3.610435,2.466284,2.632606,0.010000,927.4326,3.7090,4.0941,8.4247,8.8311,70.7013,66.9127,0.6929,0.5539,0.0340,0.0094,-6.3718,-6.7972,343.24
59,3.527004,3.605883,2.462423,2.628250,0.010000,930.0868,3.7069,4.0928,8.4904,8.8919,70.6888,66.8999,0.7002,0.5596,0.0338,0.0094,-6.4047,-6.8280,344.17
