filename,k01_mean,k10_mean,k01_dt_mean,k10_dt_mean,k01_power_mean,k10_power_mean,k01_event_count,k10_event_count,is_valid_k01,is_valid_k10
17051046058332-r1457839-n976057_cleaned.parquet,,,,,,,0,0,False,False
17051046058332-r6272977-n976057_cleaned.parquet,,,,,,,0,0,False,False
17123670368444-r8642123-n386398_cleaned.parquet,,,,,,,0,0,False,False
17143617822218-r8579942-n139058_cleaned.parquet,,,,,,,0,0,False,False
1680979411608-r3741709-n976057_cleaned.parquet,0.05697814728702374,,12.666666666666666,,223.64346437171227,,3,0,True,False
17075131169940-r4858666-n976057_cleaned.parquet,,,,,,,0,0,False,False
16646545056881-r629115-n851693_cleaned.parquet,,,,,,,0,0,False,False
17155335282856-r2582019-n976057_cleaned.parquet,,,,,,,0,0,False,False
17143617822218-r9555635-n139058_cleaned.parquet,,,,,,,0,0,False,False
16611639520121-r8937440-n386398_cleaned.parquet,,,,,,,0,0,False,False
17276398714431-r1457839-n386398_cleaned.parquet,,,,,,,0,0,False,False
17296238620342-r3879907-n139058_cleaned.parquet,,,,,,,0,0,False,False
17215928600494-r9535192-n386398_cleaned.parquet,,,,,,,0,0,False,False
17348280618914-r8015356-n976057_cleaned.parquet,,,,,,,0,0,False,False
17241551093875-r3741709-n851693_cleaned.parquet,,,,,,,0,0,False,False
17273782971547-r4327055-n139058_cleaned.parquet,,,,,,,0,0,False,False
1735848413532-r1682297-n386398_cleaned.parquet,,,,,,,0,0,False,False
17241551093875-r9175025-n851693_cleaned.parquet,,,,,,,0,0,False,False
17370863843517-r1485405-n685852_cleaned.parquet,,,,,,,0,0,False,False
17370863843517-r3041626-n830961_cleaned.parquet,,,,,,,0,0,False,False
17370863843517-r3226521-n830961_cleaned.parquet,,,,,,,0,0,False,False
17370863843517-r6760045-n830961_cleaned.parquet,,,,,,,0,0,False,False
17370863843517-r7343737-n685852_cleaned.parquet,,,,,,,0,0,False,False
17370863843517-r9102715-n685852_cleaned.parquet,,,,,,,0,0,False,False
17370863843517-r9192091-n830961_cleaned.parquet,,,,,,,0,0,False,False
17547441897461-r629115-n830961_cleaned.parquet,,,,,,,0,0,False,False
17600404318717-r3041626-n830961_cleaned.parquet,,,,,,,0,0,False,False
17629363510803-r4179716-n976057_cleaned.parquet,,,,,,,0,0,False,False
17308984942668-r9535192-n976057_cleaned.parquet,,,,,,,0,0,False,False
17411580538236-r9535192-n386398_cleaned.parquet,,,,,,,0,0,False,False
17732454456582-r9192091-n851693_cleaned.parquet,0.00776767122286243,,1.6666666666666667,,213.5391063184493,,3,0,True,False
17683840771163-r9040233-n976057_cleaned.parquet,,,,,,,0,0,False,False
17748514237423-r1682297-n43543_cleaned.parquet,,,,,,,0,0,False,False
17397950145461-r8937440-n386398_cleaned.parquet,,,,,,,0,0,False,False
17840665415717-r8062914-n208530_cleaned.parquet,,,,,,,0,0,False,False
17841600602643-r3405251-n136082_cleaned.parquet,,,,,,,0,0,False,False
17417168593801-r5130449-n139058_cleaned.parquet,,,,,,,0,0,False,False
17848293220948-r1457839-n386398_cleaned.parquet,,,,,,,0,0,False,False
18080653092863-r3475376-n208530_cleaned.parquet,,,,,,,0,0,False,False
18105403571228-r5189505-n911952_cleaned.parquet,,,,,,,0,0,False,False
18096761067993-r8937440-n43543_cleaned.parquet,,,,,,,0,0,False,False
18141257410621-r9192091-n976057_cleaned.parquet,,,,,,,0,0,False,False
18149758656255-r3226521-n685852_cleaned.parquet,,,,,,,0,0,False,False
18203079158032-r4327055-n136082_cleaned.parquet,,,,,,,0,0,False,False
17794411396665-r9720335-n851693_cleaned.parquet,,,,,,,0,0,False,False
18284685005764-r2825489-n208530_cleaned.parquet,,,,,,,0,0,False,False
18284685005764-r2998125-n208530_cleaned.parquet,,,,,,,0,0,False,False
18211030216176-r9175025-n911952_cleaned.parquet,,,,,,,0,0,False,False
18169089298041-r6760045-n830961_cleaned.parquet,,,,,,,0,0,False,False
18343192456984-r8062914-n208530_cleaned.parquet,,,,,,,0,0,False,False
18489044336289-r9175025-n976057_cleaned.parquet,,,,,,,0,0,False,False
1680751970347-r7217787-n685852_cleaned.parquet,,,,,,,0,0,False,False
18351609984299-r8333645-n911952_cleaned.parquet,,,,,,,0,0,False,False
18539819569388-r1682297-n386398_cleaned.parquet,,,,,,,0,0,False,False
18576152731460-r9720335-n851693_cleaned.parquet,,,,,,,0,0,False,False
18342703426938-r3117156-n136082_cleaned.parquet,,,,,,,0,0,False,False
18594756506601-r4858666-n911952_cleaned.parquet,,,,,,,0,0,False,False
18740606543242-r7217787-n976057_cleaned.parquet,,,,,,,0,0,False,False
16906565686189-r9040233-n851693_cleaned.parquet,,,,,,,0,0,False,False
18791932614653-r4858666-n976057_cleaned.parquet,,,,,,,0,0,False,False
18860668372338-r7217787-n851693_cleaned.parquet,,,,,,,0,0,False,False
18881694429730-r4229531-n386398_cleaned.parquet,,,,,,,0,0,False,False
1878946160020-r1682297-n685852_cleaned.parquet,,,,,,,0,0,False,False
18604346403014-r5189505-n911952_cleaned.parquet,,,,,,,0,0,False,False
