filename,C_0,tau_0,R_th_0,T_amp_0,C_1,tau_1,R_th_1,T_amp_1
19216312164781-r9352821-n830961_cleaned.parquet,154.97378804666897,32.864303232381836,0.2120636247368816,29.134325812420123,153.73818329902505,28.89601715131388,0.18795602062703137,23.574400566315028
19335571136746-r1682297-n976057_cleaned.parquet,163.579137388733,33.11956328705086,0.2024681375372754,15.576422965956985,137.9107517879418,26.226434485035007,0.1901696143703287,15.22456398462617
17994250792206-r8642123-n386398_cleaned.parquet,68.53986651647936,15.783442472134698,0.2302811965404078,9.44807286860129,45.67551142076141,10.81731365897823,0.2368296122473478,8.650086567792455
19368934384526-r7343737-n911952_cleaned.parquet,,,,,474.643437423576,159.65857986342556,0.33637582925421305,14.984728327011512
19557123165393-r1485405-n851693_cleaned.parquet,,,,,222.18991403342056,76.6563330747865,0.3450036578314544,20.10167362728182
19557123165393-r4858666-n911952_cleaned.parquet,,,,,194.43484352906538,54.17718131895939,0.2786392620562406,16.95549755903266
19557123165393-r7217787-n911952_cleaned.parquet,150.33634642700633,47.85561818169926,0.3183236743413535,19.70125927758287,,,,
19557123165393-r9352821-n911952_cleaned.parquet,171.34539333663082,52.963822201639694,0.30910560926248665,18.36813342296857,,,,
19415011951341-r8333645-n911952_cleaned.parquet,,,,,158.80096199869044,25.382919926624023,0.1598410967235409,15.660296403045528
1963031364920-r3741709-n830961_cleaned.parquet,184.6808143943496,18.37951765233939,0.0995204494447027,14.804570427851148,161.32455472056537,15.679641739427648,0.0971931505813655,14.313954997949308
19700524312857-r1682297-n911952_cleaned.parquet,,,,,207.4918451844364,23.713581291575863,0.11428681098525688,13.30344796849904
19775431124258-r1682297-n851693_cleaned.parquet,,,,,222.83344325570548,58.96907187544152,0.26463295192083636,34.81910909648604
19684696098285-r6272977-n976057_cleaned.parquet,90.93248229724072,21.982044066551804,0.24174028368319195,6.1511741016685795,,,,
20169988895085-r6760045-n976057_cleaned.parquet,153.167535261179,29.520656887400442,0.19273442532754906,10.520318539211296,145.58976201871621,25.060370639967093,0.1721300336815268,9.389148514480253
19997658047499-r7217787-n851693_cleaned.parquet,159.81129824898844,33.199589773602135,0.2077424446041147,32.17284829868424,,,,
20221994555051-r3475376-n136082_cleaned.parquet,148.31804737142664,26.43120413828434,0.17820625747650107,33.53986683707427,133.0742030164991,23.74661226863528,0.17844639855322728,32.13334940066047
2029301392762-r9040233-n911952_cleaned.parquet,,,,,135.0598359271898,23.197361242790908,0.17175617816755315,12.299368347077111
20859937772151-r6272977-n386398_cleaned.parquet,,,,,273.31076088372714,42.29237244887004,0.15474097072548934,24.252088782399046
20397201235202-r4822976-n208530_cleaned.parquet,,,,,193.59284773030936,49.20131040073726,0.2541483891454436,40.490744924121366
20902328704371-r9175025-n976057_cleaned.parquet,191.48894885951725,30.408108366856123,0.1587982416111362,12.774971088750712,190.98864450332843,28.56496386116609,0.14956367660208342,11.844521588558964
210784252454-r4858666-n911952_cleaned.parquet,,,,,120.30055051070266,24.70445590251672,0.20535613343115053,16.69193385505554
21045770204504-r9189566-n830961_cleaned.parquet,152.7427513770375,27.299701602152545,0.1787299322294166,28.18833900247976,121.41826702322611,22.319162369230465,0.1838204655396789,28.88606802563314
19517937811373-r3226521-n386398_cleaned.parquet,150.33659000504468,29.539078745611803,0.1964862894962603,31.890539691771846,140.73462057282433,25.170997879822323,0.178854341436174,28.74964951968962
21243308854360-r4179716-n976057_cleaned.parquet,310.69869318809845,53.65429040336825,0.1726891408934433,24.253808728695844,,,,
21303202099230-r6272977-n386398_cleaned.parquet,,,,,135.30632457639803,8.873167391922193,0.06557836390650117,4.603774750406308
20882866081641-r8642123-n976057_cleaned.parquet,254.03260400775352,55.35029705667179,0.21788658693189794,34.86797396041779,242.0914571017874,59.467303044518566,0.24563982453753222,39.211712390972785
21304642515490-r8937440-n976057_cleaned.parquet,,,,,248.12038795571658,21.117898418937294,0.08511150007836649,4.9801484985642235
21380665990505-r4179716-n386398_cleaned.parquet,,,,,183.46003177251472,12.682680488000821,0.06913048234793172,6.334966404511601
213827482795-r4229531-n976057_cleaned.parquet,119.58591654793825,19.370787427210054,0.16198217972803605,21.952334994109634,,,,
21204656669462-r7343737-n976057_cleaned.parquet,169.519320260591,32.84152475744891,0.19373322584684607,27.440883063545353,193.4607132694716,35.85117030962383,0.18531499085132963,22.504027206356945
2141692100872-r3117156-n136082_cleaned.parquet,,,,,227.08596220705203,65.69236005164555,0.28928410815525746,36.47285346400158
2141692100872-r8642123-n911952_cleaned.parquet,,,,,215.42380416892436,64.18192244669551,0.29793328872963043,39.70643805671369
21603299618571-r4858666-n685852_cleaned.parquet,174.2155511769115,31.563295693268287,0.18117381301521443,19.239897711277532,135.35421184877308,24.49163285928158,0.18094474139190656,18.290035713753003
21652795588899-r2582019-n386398_cleaned.parquet,,,,,141.71628460467676,25.66845849563748,0.18112568056127545,27.383570945051325
22267969885346-r3226521-n976057_cleaned.parquet,164.86591948588116,33.8196910841425,0.20513451894488574,34.01468263804275,174.10584758651032,35.88432892327504,0.20610639688850607,32.062189886762646
21691073996765-r9352821-n830961_cleaned.parquet,,,,,103.06978346443208,10.972174164890308,0.10645383929303248,3.833821751410752
22519002811963-r3879907-n136082_cleaned.parquet,90.66181462863716,7.684444533621079,0.08475943885634304,12.255514563194012,,,,
22519002811963-r3117156-n136082_cleaned.parquet,83.77831117061486,6.660440055227712,0.0795007677066168,10.900642220823343,124.36826608697065,14.11683664874836,0.11350834978173986,14.999816679927038
22418187612051-r629115-n911952_cleaned.parquet,178.36841100068435,46.78694711637871,0.26230511811981777,39.9725492828128,212.16900760875183,52.338536093997874,0.24668322995841238,36.61689186311175
2266224670529-r7343737-n911952_cleaned.parquet,,,,,169.22569383993104,34.457019156458855,0.20361576528119554,31.325387640002557
2308660739372-r2825489-n139058_cleaned.parquet,,,,,122.16229861707934,6.567450068579456,0.05376004006903378,4.2750056695698495
2326894059375-r1457839-n976057_cleaned.parquet,49.12185501932301,6.031553640619648,0.12278757873144291,7.146254800362342,46.79970370262882,5.9842919966949335,0.1278702966736686,7.412694920129058
2326894059375-r1457839-n851693_cleaned.parquet,55.653384759405924,6.5875991446691256,0.11836834674382966,7.45204662240363,55.18903682823498,6.903979362059274,0.12509693516751436,7.93605151194144
2326894059375-r1485405-n386398_cleaned.parquet,49.86546517276695,5.91396159536948,0.11859834406195963,7.0213484643821005,65.39447552738874,7.157482202561485,0.10945086943259853,6.519106898763344
2326894059375-r2582019-n976057_cleaned.parquet,51.76510478502417,6.245338889655681,0.12064766246667542,7.012080850929923,55.24680501120811,6.404409822549982,0.11592362347923463,6.72185493197596
2326894059375-r2652301-n685852_cleaned.parquet,54.7371836925715,6.495365357289398,0.11866458811199118,7.499008412263144,44.32080212160664,5.713394484510002,0.12890999736046496,8.557150258849122
2326894059375-r2825489-n136082_cleaned.parquet,55.20265809044859,6.583569304235343,0.11926181694816725,7.824253104234347,,,,
2326894059375-r2825489-n139058_cleaned.parquet,51.1057043111502,6.2973574212337216,0.12322220202451588,7.965854324917408,50.69592467936596,6.3641768425863985,0.1255362612051678,8.542955156640174
2326894059375-r2998125-n136082_cleaned.parquet,,,,,58.78779650158772,6.725301193968728,0.11439961342635276,7.419757132301223
2326894059375-r3041626-n976057_cleaned.parquet,53.71583982374905,6.523877450873613,0.12145165136167621,7.105586704576418,58.86810494433052,6.926978293447347,0.11766946294598654,7.001025440547568
2326894059375-r3226521-n976057_cleaned.parquet,62.62900350214428,7.183030216579025,0.11469175325986297,6.754941632741617,60.869132094066266,6.829540338238604,0.1122003896438729,6.4208635680499375
2326894059375-r3741709-n685852_cleaned.parquet,61.120407215884455,6.894683481818525,0.1128049336691376,7.262964705443232,54.72974869047913,6.781311770265573,0.12390540670334305,8.466096421744547
2326894059375-r4179716-n851693_cleaned.parquet,,,,,53.49488298266362,6.692477114547586,0.12510499586879092,7.862804651685184
2326894059375-r4858666-n685852_cleaned.parquet,,,,,48.289809594492205,6.182651952367297,0.12803222883431026,8.45907680288321
2326894059375-r4858666-n976057_cleaned.parquet,55.14773691917096,6.696542028949636,0.12142913568265977,7.103177393584371,48.247146752784914,6.131464768493744,0.12708450511925506,7.482990648393714
2326894059375-r5189505-n851693_cleaned.parquet,,,,,64.58723406502038,7.319135096650947,0.11332169897975082,7.764898031801024
2326894059375-r5573787-n851693_cleaned.parquet,57.50182963334295,6.6875030649190705,0.11630070047442911,6.7695701146826375,47.48476795019832,5.6951578986364035,0.1199365216359369,7.0987775249420855
