timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/24 10:48:40.308, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:40.308, 77 %, 34 %, 1597 MiB, 85
2026/03/24 10:48:45.308, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:45.309, 92 %, 33 %, 1597 MiB, 84
2026/03/24 10:48:50.309, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:50.309, 71 %, 28 %, 1597 MiB, 85
2026/03/24 10:48:55.310, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:48:55.310, 92 %, 42 %, 1597 MiB, 84
2026/03/24 10:49:00.311, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:00.311, 78 %, 23 %, 1597 MiB, 85
2026/03/24 10:49:05.311, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:05.312, 76 %, 23 %, 1597 MiB, 84
2026/03/24 10:49:10.313, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:10.313, 82 %, 23 %, 1597 MiB, 83
2026/03/24 10:49:15.313, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:15.314, 93 %, 29 %, 1597 MiB, 84
2026/03/24 10:49:20.314, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:20.314, 71 %, 23 %, 1597 MiB, 84
2026/03/24 10:49:25.315, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:25.315, 77 %, 29 %, 1597 MiB, 85
2026/03/24 10:49:30.316, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:30.316, 90 %, 34 %, 1597 MiB, 84
2026/03/24 10:49:35.317, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:35.317, 66 %, 24 %, 1597 MiB, 84
2026/03/24 10:49:40.318, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:40.319, 92 %, 43 %, 1597 MiB, 84
2026/03/24 10:49:45.319, 0 %, 0 %, 9273 MiB, 41
