timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/23 19:36:35.623, 87 %, 23 %, 1595 MiB, 86
2026/03/23 19:36:40.624, 84 %, 40 %, 9025 MiB, 84
2026/03/23 19:36:40.624, 92 %, 38 %, 1595 MiB, 86
2026/03/23 19:36:45.624, 87 %, 41 %, 9025 MiB, 83
2026/03/23 19:36:45.625, 83 %, 23 %, 1595 MiB, 86
2026/03/23 19:36:50.625, 77 %, 23 %, 9025 MiB, 83
2026/03/23 19:36:50.625, 92 %, 32 %, 1595 MiB, 85
2026/03/23 19:36:55.626, 82 %, 38 %, 9025 MiB, 84
2026/03/23 19:36:55.626, 76 %, 31 %, 1595 MiB, 86
2026/03/23 19:37:00.627, 90 %, 38 %, 9025 MiB, 83
2026/03/23 19:37:00.627, 92 %, 42 %, 1595 MiB, 86
2026/03/23 19:37:05.628, 76 %, 30 %, 9025 MiB, 83
2026/03/23 19:37:05.628, 91 %, 24 %, 1595 MiB, 86
2026/03/23 19:37:10.629, 80 %, 26 %, 9025 MiB, 83
2026/03/23 19:37:10.629, 75 %, 31 %, 1595 MiB, 86
2026/03/23 19:37:15.629, 90 %, 42 %, 9025 MiB, 83
2026/03/23 19:37:15.629, 93 %, 37 %, 1595 MiB, 85
2026/03/23 19:37:20.630, 86 %, 42 %, 9025 MiB, 83
2026/03/23 19:37:20.630, 92 %, 43 %, 1595 MiB, 86
2026/03/23 19:37:25.631, 74 %, 30 %, 9025 MiB, 83
2026/03/23 19:37:25.631, 92 %, 28 %, 1595 MiB, 85
2026/03/23 19:37:30.632, 79 %, 25 %, 9025 MiB, 83
2026/03/23 19:37:30.632, 84 %, 31 %, 1595 MiB, 86
2026/03/23 19:37:35.633, 90 %, 41 %, 9025 MiB, 83
2026/03/23 19:37:35.633, 92 %, 36 %, 1595 MiB, 86
2026/03/23 19:37:40.634, 90 %, 43 %, 9025 MiB, 83
2026/03/23 19:37:40.634, 88 %, 41 %, 1595 MiB, 86
2026/03/23 19:37:45.635, 85 %, 23 %, 9025 MiB, 83
2026/03/23 19:37:45.635, 79 %, 24 %, 1595 MiB, 86
2026/03/23 19:37:50.637, 89 %, 26 %, 9025 MiB, 83
2026/03/23 19:37:50.637, 84 %, 32 %, 1595 MiB, 86
2026/03/23 19:37:55.638, 89 %, 41 %, 9025 MiB, 83
2026/03/23 19:37:55.638, 92 %, 37 %, 1595 MiB, 85
