filename,min_temp_0,min_temp_1,idle_events_found
21205832627243-r3041626-n386398_cleaned.parquet,24.77777777777778,24.77777777777778,1
21212167439019-r3117156-n139058_cleaned.parquet,34.0,34.0,1
21253282758220-r8062914-n136082_cleaned.parquet,36.111111111111114,36.0,1
21253282758220-r9555635-n136082_cleaned.parquet,36.0,33.0,1
21036848710788-r4179716-n911952_cleaned.parquet,28.0,26.0,1
21379517358897-r9102715-n830961_cleaned.parquet,33.0,32.0,1
213827482795-r4229531-n976057_cleaned.parquet,32.111111111111114,32.0,2
21466313590413-r7217787-n43543_cleaned.parquet,34.0,34.0,1
21247491616110-r2100214-n911952_cleaned.parquet,30.11111111111111,31.0,2
21248077335257-r2100214-n386398_cleaned.parquet,29.0,26.0,1
21879520540017-r6272977-n976057_cleaned.parquet,37.0,33.0,1
21732835004399-r8586363-n172998_cleaned.parquet,33.888888888888886,33.0,1
2214582226083-r9040233-n976057_cleaned.parquet,32.0,31.0,1
21968005197274-r3041626-n685852_cleaned.parquet,29.0,26.666666666666668,5
22130588493071-r3226521-n386398_cleaned.parquet,30.0,30.0,1
21883561920533-r9175025-n386398_cleaned.parquet,29.0,28.0,3
22205652631624-r8939293-n208530_cleaned.parquet,30.0,31.0,1
22093623105133-r2652301-n911952_cleaned.parquet,30.22222222222222,29.0,17
22277592595996-r8062914-n139058_cleaned.parquet,28.0,24.11111111111111,1
22617895868725-r4858666-n911952_cleaned.parquet,32.0,31.0,4
22617958244472-r8642123-n976057_cleaned.parquet,33.0,31.7,1
21282903670842-r9720335-n976057_cleaned.parquet,33.0,31.0,13
22783092153023-r8642123-n911952_cleaned.parquet,28.0,28.0,1
22849367535948-r3741709-n43543_cleaned.parquet,32.0,33.0,1
2239084141956-r9102715-n43543_cleaned.parquet,30.0,31.0,1
23021391917037-r9102715-n976057_cleaned.parquet,29.4,30.0,1
23159522944665-r3879907-n208530_cleaned.parquet,31.0,30.0,1
23509894357553-r5189505-n851693_cleaned.parquet,33.0,31.88888888888889,1
2353213898593-r9102715-n911952_cleaned.parquet,33.0,32.0,3
2313548792725-r8642123-n911952_cleaned.parquet,26.0,26.0,1
23545002422734-r6760045-n911952_cleaned.parquet,30.0,29.0,6
23545002422734-r7217787-n911952_cleaned.parquet,31.0,31.0,2
23609208704997-r2100214-n851693_cleaned.parquet,27.0,28.0,1
2356845666028-r6760045-n911952_cleaned.parquet,26.0,27.0,1
23999121678946-r8642123-n911952_cleaned.parquet,29.0,29.0,1
24023884378508-r2100214-n976057_cleaned.parquet,26.0,26.0,1
23636215526403-r9175025-n386398_cleaned.parquet,28.0,27.0,1
24097134351174-r6760045-n976057_cleaned.parquet,32.55555555555556,31.0,1
2410592141421-r629115-n976057_cleaned.parquet,30.0,29.1,2
24101625883962-r4229531-n911952_cleaned.parquet,26.0,25.0,1
24101625883962-r1485405-n830961_cleaned.parquet,25.0,25.0,2
24269420549306-r1457839-n386398_cleaned.parquet,31.0,30.0,1
24232748245222-r3226521-n851693_cleaned.parquet,26.0,27.0,1
24269420549306-r2582019-n386398_cleaned.parquet,32.0,32.77777777777778,1
24269420549306-r4179716-n386398_cleaned.parquet,33.0,31.0,1
24269420549306-r4229531-n386398_cleaned.parquet,33.0,32.0,1
24269420549306-r6272977-n386398_cleaned.parquet,34.0,32.0,1
24269420549306-r6760045-n386398_cleaned.parquet,31.88888888888889,32.0,1
24269420549306-r8607415-n386398_cleaned.parquet,32.0,32.888888888888886,1
24269420549306-r9040233-n386398_cleaned.parquet,32.0,32.0,1
24348691885042-r8607415-n976057_cleaned.parquet,32.1,32.0,2
24532542009503-r3741709-n851693_cleaned.parquet,31.0,29.125,1
18780083328932-r629115-n851693_cleaned.parquet,31.0,32.0,1
24570729686797-r9352821-n976057_cleaned.parquet,31.2,29.0,1
24585639779103-r2998125-n136082_cleaned.parquet,31.0,33.0,1
24694460781878-r9175025-n976057_cleaned.parquet,27.0,27.0,1
24716900385269-r6272977-n976057_cleaned.parquet,32.0,28.0,1
24840810411374-r9192091-n43543_cleaned.parquet,27.0,26.0,1
24850646050797-r5573787-n976057_cleaned.parquet,27.0,25.0,1
24719533970841-r3226521-n43543_cleaned.parquet,30.0,32.0,1
24940561697447-r5130449-n139058_cleaned.parquet,33.0,33.0,1
24940561697447-r8579942-n139058_cleaned.parquet,35.0,35.0,1
24981748386353-r3741709-n911952_cleaned.parquet,33.0,31.0,15
24981748386353-r629115-n911952_cleaned.parquet,31.0,32.0,16
25057471089651-r1682297-n43543_cleaned.parquet,33.0,32.0,1
25057471089651-r1682297-n685852_cleaned.parquet,34.0,31.0,1
25057471089651-r7217787-n830961_cleaned.parquet,35.0,32.0,1
25057471089651-r9555635-n139058_cleaned.parquet,33.0,32.0,1
25133460729370-r3405251-n139058_cleaned.parquet,26.0,26.0,1
25212840727820-r4327055-n136082_cleaned.parquet,32.0,30.0,1
25247565596181-r2582019-n851693_cleaned.parquet,30.88888888888889,28.0,3
25305266140712-r2652301-n43543_cleaned.parquet,26.0,25.0,1
25227040218192-r629115-n851693_cleaned.parquet,31.0,29.0,1
25506793299849-r4229531-n911952_cleaned.parquet,33.0,30.0,1
25018030000115-r7217787-n830961_cleaned.parquet,33.0,30.0,1
25631699140189-r6760045-n685852_cleaned.parquet,29.0,26.0,1
25787225664589-r2100214-n851693_cleaned.parquet,33.0,31.0,1
25909736998548-r3041626-n976057_cleaned.parquet,29.0,28.0,2
26127368395308-r5189505-n386398_cleaned.parquet,28.0,29.0,2
2564107206510-r3226521-n976057_cleaned.parquet,26.0,28.0,6
26237683825194-r9102715-n43543_cleaned.parquet,29.0,31.0,1
26391662585422-r5573787-n976057_cleaned.parquet,27.0,25.0,1
2649728661176-r9352821-n386398_cleaned.parquet,32.0,29.0,1
26524129381849-r3226521-n386398_cleaned.parquet,34.3,34.0,1
26015192616369-r1682297-n976057_cleaned.parquet,30.22222222222222,26.0,300
26331400891200-r9352821-n386398_cleaned.parquet,34.0,30.0,14
2675391250428-r6760045-n976057_cleaned.parquet,28.0,27.0,1
26901162353066-r3041626-n851693_cleaned.parquet,31.0,30.0,1
26435743722939-r4858666-n386398_cleaned.parquet,32.0,33.0,2
26751323255081-r5189505-n851693_cleaned.parquet,31.0,29.0,1
26159857516575-r7343737-n976057_cleaned.parquet,30.0,29.0,1
27316753678946-r4229531-n976057_cleaned.parquet,27.0,27.11111111111111,1
27428180586328-r5130449-n208530_cleaned.parquet,33.0,30.875,1
27087122121443-r2100214-n911952_cleaned.parquet,24.0,24.88888888888889,1
27614546003186-r3226521-n851693_cleaned.parquet,30.0,31.0,1
27731441239544-r3741709-n976057_cleaned.parquet,32.0,30.0,1
26584131760877-r2100214-n911952_cleaned.parquet,26.0,25.0,3
27829631516338-r4229531-n851693_cleaned.parquet,30.0,28.0,1
28000495821100-r2100214-n386398_cleaned.parquet,33.0,31.0,1
28000495821100-r8015356-n386398_cleaned.parquet,32.0,31.0,1
28000495821100-r8642123-n386398_cleaned.parquet,33.0,31.0,1
28000495821100-r9720335-n386398_cleaned.parquet,35.0,30.0,1
28106267057193-r3041626-n386398_cleaned.parquet,30.0,30.0,1
27816833566210-r2582019-n911952_cleaned.parquet,29.0,27.0,2
28260142604016-r9189566-n685852_cleaned.parquet,29.0,28.0,1
28177633770129-r6272977-n386398_cleaned.parquet,29.0,27.0,1
28612723411759-r9535192-n976057_cleaned.parquet,29.0,27.88888888888889,1
28668486963644-r1485405-n386398_cleaned.parquet,31.0,28.88888888888889,3
28786112566987-r3226521-n386398_cleaned.parquet,28.0,30.0,1
28891041828614-r2582019-n851693_cleaned.parquet,30.0,28.0,7
28522950769628-r5189505-n830961_cleaned.parquet,31.0,31.0,41
2896696516018-r9555635-n136082_cleaned.parquet,26.0,24.0,1
28975128430973-r9555635-n139058_cleaned.parquet,28.0,26.0,1
28975128430973-r7217787-n830961_cleaned.parquet,32.0,30.0,1
28891041828614-r6760045-n851693_cleaned.parquet,27.0,26.0,2
28623452489817-r9102715-n830961_cleaned.parquet,31.0,30.88888888888889,1
29110818799870-r1457839-n851693_cleaned.parquet,36.0,31.0,2
29184264937989-r7343737-n43543_cleaned.parquet,27.0,25.0,1
29110818799870-r6272977-n851693_cleaned.parquet,31.0,30.0,6
2928200543688-r8642123-n976057_cleaned.parquet,35.0,34.0,1
28973967295294-r3879907-n208530_cleaned.parquet,31.666666666666668,31.0,1
29635300893438-r2582019-n911952_cleaned.parquet,34.333333333333336,33.0,1
29385857904124-r1485405-n830961_cleaned.parquet,29.333333333333332,29.0,1
29680576724807-r2100214-n386398_cleaned.parquet,28.0,26.0,1
29766766254811-r4179716-n386398_cleaned.parquet,32.0,30.1,1
29421067076688-r3117156-n208530_cleaned.parquet,30.0,31.0,3
29812630314616-r4858666-n386398_cleaned.parquet,29.0,28.0,1
29769067260045-r7217787-n911952_cleaned.parquet,30.0,32.0,8
2957468615776-r3879907-n208530_cleaned.parquet,31.0,30.0,1
29598932304395-r8015356-n386398_cleaned.parquet,27.0,27.0,1
29920577257795-r4179716-n911952_cleaned.parquet,35.0,32.888888888888886,1
29731693947133-r4179716-n976057_cleaned.parquet,30.7,28.0,2
27612091376072-r1485405-n911952_cleaned.parquet,30.0,27.0,2
30100505583371-r9175025-n976057_cleaned.parquet,29.0,28.0,1
30102686406698-r3475376-n136082_cleaned.parquet,29.0,27.0,1
30124132968695-r4179716-n911952_cleaned.parquet,31.0,29.0,1
30121214615508-r4229531-n911952_cleaned.parquet,32.0,30.0,1
30365990624605-r3117156-n139058_cleaned.parquet,27.0,27.0,1
3039714037523-r4327055-n136082_cleaned.parquet,32.0,30.0,1
30393593551621-r9189566-n976057_cleaned.parquet,31.0,30.0,1
30650864906613-r4179716-n386398_cleaned.parquet,33.0,30.0,1
30675262725697-r7343737-n386398_cleaned.parquet,31.0,29.0,8
30804125690020-r4327055-n136082_cleaned.parquet,28.0,27.0,2
31065980694089-r2582019-n976057_cleaned.parquet,38.0,36.0,1
31065980694089-r3041626-n386398_cleaned.parquet,32.0,31.0,1
31065980694089-r5189505-n386398_cleaned.parquet,35.0,34.666666666666664,1
31065980694089-r4229531-n386398_cleaned.parquet,37.0,36.0,1
31065980694089-r6760045-n976057_cleaned.parquet,36.0,34.0,1
31065980694089-r6760045-n43543_cleaned.parquet,35.0,34.0,1
31065980694089-r8937440-n386398_cleaned.parquet,36.0,34.0,1
30945071051927-r7217787-n911952_cleaned.parquet,30.0,30.0,1
3115546778520-r3226521-n976057_cleaned.parquet,29.0,30.0,1
31198462826549-r3879907-n139058_cleaned.parquet,28.0,27.0,1
3129402457780-r2582019-n911952_cleaned.parquet,31.0,29.0,1
30676564451555-r5573787-n976057_cleaned.parquet,30.0,28.0,1
30490577197655-r9192091-n851693_cleaned.parquet,31.0,29.0,1
31529203611189-r2100214-n976057_cleaned.parquet,27.0,26.555555555555557,1
29450663177769-r9555635-n136082_cleaned.parquet,28.0,26.0,1
31544054208355-r9720335-n911952_cleaned.parquet,33.0,30.2,1
3155195950672-r5189505-n386398_cleaned.parquet,31.333333333333332,31.0,2
31640909585840-r9192091-n976057_cleaned.parquet,29.0,27.0,1
31435446833202-r8937440-n976057_cleaned.parquet,38.0,37.0,1
31768400477419-r5189505-n851693_cleaned.parquet,32.0,30.0,1
3196089101141-r7217787-n976057_cleaned.parquet,32.0,30.666666666666668,1
3198575094101-r3475376-n136082_cleaned.parquet,30.0,28.0,1
3198575094101-r6760045-n43543_cleaned.parquet,28.0,27.0,1
31804108656973-r6760045-n386398_cleaned.parquet,30.0,30.0,1
3143179088246-r5189505-n851693_cleaned.parquet,28.11111111111111,25.0,2
31548676767384-r3041626-n685852_cleaned.parquet,28.0,27.0,2
32052039506206-r8642123-n976057_cleaned.parquet,35.0,34.0,1
31548676767384-r1682297-n685852_cleaned.parquet,29.0,27.0,2
31548676767384-r8937440-n685852_cleaned.parquet,30.77777777777778,28.0,2
31548676767384-r3226521-n685852_cleaned.parquet,32.0,30.0,3
32284550639549-r2100214-n851693_cleaned.parquet,31.0,29.1,1
32227283527522-r2652301-n685852_cleaned.parquet,34.0,30.0,1
32190323755376-r3741709-n685852_cleaned.parquet,32.0,30.0,2
32064259717759-r629115-n830961_cleaned.parquet,29.0,27.0,1
32457290668836-r5573787-n851693_cleaned.parquet,32.0,30.0,1
32417426233646-r5573787-n386398_cleaned.parquet,26.0,25.0,1
32549438572486-r4822976-n136082_cleaned.parquet,29.0,27.0,1
32556777942732-r7343737-n851693_cleaned.parquet,29.0,28.88888888888889,1
32585359263613-r9720335-n851693_cleaned.parquet,39.0,37.0,1
32673358506378-r9102715-n386398_cleaned.parquet,34.0,32.0,1
32770395513320-r2582019-n386398_cleaned.parquet,34.0,34.0,1
3240264122028-r3226521-n830961_cleaned.parquet,30.0,26.0,1
33076882030691-r9535192-n911952_cleaned.parquet,34.0,32.77777777777778,1
32815694679432-r6760045-n386398_cleaned.parquet,26.0,28.0,1
32927751534945-r7217787-n976057_cleaned.parquet,33.0,31.0,1
33358650748382-r4822976-n136082_cleaned.parquet,30.0,28.11111111111111,1
33310245872514-r3226521-n851693_cleaned.parquet,31.0,31.0,1
33543485772037-r8642123-n911952_cleaned.parquet,33.0,32.0,1
33520183968359-r8015356-n851693_cleaned.parquet,33.0,31.0,1
33530733924213-r8607415-n976057_cleaned.parquet,33.0,29.0,1
33665695536917-r2100214-n386398_cleaned.parquet,28.77777777777778,27.0,1
33670270239985-r3405251-n139058_cleaned.parquet,27.0,28.0,2
33680731731121-r8607415-n976057_cleaned.parquet,33.0,29.0,1
3383233553343-r5715171-n208530_cleaned.parquet,26.5,26.0,1
33748986009423-r9352821-n685852_cleaned.parquet,31.0,27.0,1
33919178635131-r8333645-n976057_cleaned.parquet,30.333333333333332,31.0,1
33484859483621-r3041626-n386398_cleaned.parquet,28.0,27.444444444444443,1
33578072518228-r3226521-n43543_cleaned.parquet,31.0,33.0,1
34108944848119-r9352821-n386398_cleaned.parquet,39.0,35.0,1
34483571765028-r1485405-n685852_cleaned.parquet,34.0,32.0,1
34483571765028-r7343737-n685852_cleaned.parquet,33.0,32.0,1
34483571765028-r9102715-n685852_cleaned.parquet,34.0,33.0,1
34485103962359-r3226521-n830961_cleaned.parquet,33.0,29.0,1
34483571765028-r9192091-n830961_cleaned.parquet,33.0,31.0,1
34040886082002-r4858666-n911952_cleaned.parquet,32.0,30.0,1
34642011660494-r629115-n830961_cleaned.parquet,34.0,35.0,1
34743055148421-r5189505-n386398_cleaned.parquet,28.0,29.0,1
32910231028240-r2100214-n911952_cleaned.parquet,29.0,29.0,14
34820317497386-r3226521-n43543_cleaned.parquet,32.0,33.0,2
34527556528880-r3041626-n851693_cleaned.parquet,30.22222222222222,28.0,11
