======================================================================
--- STARTING: 05_NORMALIZE_CLEANED_DUAL_GPU_DATA ---
======================================================================
Found 1 cleaned dual GPU directories. Using 8 cores.


--- Processing Directory: dual_gpu_0000_parquet_to_0019_parquet_cleaned ---
[*] Created shortcut for dual_gpu_0000_parquet_to_0019_parquet_cleaned_normalized in outputs folder.

Pass 1: Finding ACTUAL global max power...

ACTUAL GLOBAL MAX POWER DRAW = 332.510 W

Pass 2: Analyzing GLOBAL power draw distribution...

GLOBAL POWER DRAW SCALE (P99.9) = 267.500 W

Starting parallel processing on 6631 files...
[DEBUG] Skipped 25045591467152-r5130449-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 25133460729370-r3405251-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 25209682204587-r9555635-n136082_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 25212840727820-r4327055-n136082_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 25881159166666-r4822976-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 26161162831957-r1457839-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 28106267057193-r3041626-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 28696387245173-r8937440-n976057_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 2896696516018-r9555635-n136082_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 29596549350300-r9189566-n685852_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 29635300893438-r2582019-n911952_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 2978602299403-r5715171-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 30102686406698-r3475376-n136082_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 30241039020149-r2652301-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 30241039020149-r9189566-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 3039714037523-r4327055-n136082_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 30502485983931-r2100214-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 31169548414564-r9352821-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 31198462826549-r3879907-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 31223572191358-r8062914-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 32673358506378-r9102715-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 33076882030691-r9175025-n911952_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 33076882030691-r9535192-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 33161863957012-r1485405-n685852_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 33358650748382-r4822976-n136082_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 33496415199584-r9535192-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 33492825895642-r5715171-n208530_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 34160133137048-r2652301-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 34743055148421-r5189505-n386398_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 36457578425058-r1457839-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 36457701466578-r629115-n830961_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 36659638142071-r5189505-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 36659638142071-r6272977-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 36868542773585-r1485405-n830961_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 36937506530591-r2652301-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 36937506530591-r9189566-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 3740057138214-r3879907-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 3740057138214-r8939293-n139058_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 3740057138214-r9555635-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 37576079208670-r6272977-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 37590454349288-r8062914-n136082_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 37983186248068-r9175025-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 38340229007013-r5715171-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 38506710801718-r5573787-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 38966718740934-r8333645-n830961_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 39002742368820-r3879907-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 39382078970276-r4774426-n172998_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 39459617471074-r9555635-n139058_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 39662986738875-r4229531-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 39895079700697-r2998125-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 4107647480916-r4774426-n172998_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 41146339629820-r9535192-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
