filename,k01_mean,k10_mean,k01_dt_mean,k10_dt_mean,k01_power_mean,k10_power_mean,k01_event_count,k10_event_count,is_valid_k01,is_valid_k10
11983189675432-r8607415-n386398_cleaned.parquet,,,,,,,0,0,False,False
11902519226081-r1485405-n976057_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r1485405-n685852_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r3041626-n830961_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r3226521-n830961_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r7343737-n685852_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r9102715-n685852_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r9192091-n830961_cleaned.parquet,,,,,,,0,0,False,False
12043353552570-r1682297-n911952_cleaned.parquet,,,,,,,0,0,False,False
11637946721970-r629115-n386398_cleaned.parquet,,,,,,,0,0,False,False
12061204333884-r8062914-n139058_cleaned.parquet,,,,,,,0,0,False,False
12060419167616-r9192091-n830961_cleaned.parquet,,,,,,,0,0,False,False
12080819838745-r9192091-n976057_cleaned.parquet,,,,,,,0,0,False,False
12094003728982-r8607415-n911952_cleaned.parquet,,,,,,,0,0,False,False
12140025358381-r9189566-n43543_cleaned.parquet,,,,,,,0,0,False,False
12142951176334-r629115-n851693_cleaned.parquet,,,,,,,0,0,False,False
12084974059495-r6760045-n830961_cleaned.parquet,,,,,,,0,0,False,False
12142951176334-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
11998887952133-r9535192-n386398_cleaned.parquet,,,,,,,0,0,False,False
12167938203730-r8607415-n386398_cleaned.parquet,,,,,,,0,0,False,False
12211810947034-r2825489-n208530_cleaned.parquet,,,,,,,0,0,False,False
12172543313769-r3226521-n851693_cleaned.parquet,,,,,,,0,0,False,False
122138511098-r3041626-n976057_cleaned.parquet,,,,,,,0,0,False,False
11764409090132-r9102715-n911952_cleaned.parquet,,,,,,,0,0,False,False
12211810947034-r2998125-n208530_cleaned.parquet,,,,,,,0,0,False,False
12232485384706-r9352821-n43543_cleaned.parquet,,,,,,,0,0,False,False
11146158120699-r7217787-n386398_cleaned.parquet,,,,,,,0,0,False,False
12259649057838-r2998125-n208530_cleaned.parquet,,,,,,,0,0,False,False
12439024788847-r5573787-n386398_cleaned.parquet,,,,,,,0,0,False,False
12440954812778-r3041626-n911952_cleaned.parquet,,,,,,,0,0,False,False
12404622872677-r7217787-n976057_cleaned.parquet,,,,,,,0,0,False,False
12169119140450-r8939293-n136082_cleaned.parquet,,,,,,,0,0,False,False
12548017017271-r7217787-n976057_cleaned.parquet,,,,,,,0,0,False,False
12548017017271-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
12582082170900-r9192091-n976057_cleaned.parquet,,,,,,,0,0,False,False
12400257813928-r3226521-n911952_cleaned.parquet,,,,,,,0,0,False,False
12131050546093-r2825489-n139058_cleaned.parquet,,,,,,,0,0,False,False
12600180302996-r4327055-n139058_cleaned.parquet,,,,,,,0,0,False,False
12657143383484-r9352821-n43543_cleaned.parquet,,,,,,,0,0,False,False
1267259370656-r5573787-n851693_cleaned.parquet,0.012068244460001785,,1.927777777777779,,157.975100663352,,4,0,True,False
12685028509101-r9192091-n851693_cleaned.parquet,,,,,,,0,0,False,False
12641207135139-r3405251-n139058_cleaned.parquet,,,,,,,0,0,False,False
12705440725832-r8642123-n911952_cleaned.parquet,,,,,,,0,0,False,False
12710302326646-r9535192-n911952_cleaned.parquet,,,,,,,0,0,False,False
12754910432098-r3879907-n136082_cleaned.parquet,,,,,,,0,0,False,False
12731443252710-r3741709-n976057_cleaned.parquet,,,,,,,0,0,False,False
12816541580451-r8333645-n386398_cleaned.parquet,,,,,,,0,0,False,False
12423798727580-r5573787-n911952_cleaned.parquet,,,,,,,0,0,False,False
12871570969047-r9720335-n976057_cleaned.parquet,,,,,,,0,0,False,False
12831845655325-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
1278063882854-r8579942-n208530_cleaned.parquet,,,,,,,0,0,False,False
12060126487006-r9720335-n976057_cleaned.parquet,,,,,,,0,0,False,False
12765931404497-r8015356-n386398_cleaned.parquet,,,,,,,0,0,False,False
11385122798843-r1485405-n851693_cleaned.parquet,,,,,,,0,0,False,False
12887241388186-r629115-n43543_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r2652301-n911952_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r3879907-n139058_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r5189505-n911952_cleaned.parquet,,,,,,,0,0,False,False
13001405465504-r629115-n830961_cleaned.parquet,,,,,,,0,0,False,False
13001405465504-r9352821-n830961_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r9192091-n911952_cleaned.parquet,,,,,,,0,0,False,False
12937147380893-r9189566-n911952_cleaned.parquet,,,,,,,0,0,False,False
